Pmaster Sku,Pageview,Selection
5484548521823,93426,1
5732206708431,69340,1
4023602020108,36229,1
2522669918964,30561,1
8799950930256,30420,1
6426806101910,24970,1
2183859470153,24479,1
5818743364964,22385,1
7843668648192,18527,1
8498104747576,18351,1
2613995576849,17292,1
9251159508706,16982,1
4654860681768,15177,1
5773525230294,15014,1
9468526390720,14907,1
9124534191827,14695,1
6104666664958,13493,1
2952879599084,13165,1
7150584195975,12513,1
1188377647065,12170,1
7022142293009,11948,1
2759667329943,11893,1
5906774813967,11766,1
6930537425079,11754,1
2879715667694,11600,1
2365951987143,11058,1
2519398972557,10851,1
1255343877641,10812,1
4645898488487,10772,1
1698700525412,10610,1
9155715625138,10425,1
7981447378105,10377,1
7688059961343,9867,1
6700497342228,9764,1
2620246120265,9318,1
2494168006161,9160,1
6689760420335,9017,1
3515630825770,8998,1
6635915664661,8938,1
1292867063228,8734,1
6452688903953,8677,1
2336024456553,8637,1
6030196021473,8510,1
4256032200680,8436,1
2955613204791,8293,1
2474166440180,8085,1
2768396713115,7828,1
1578372470831,7748,1
7526484102284,7746,1
1676152261016,7721,1
6582333444003,7626,1
2433820778954,7567,1
3465635505301,7519,1
1859677933717,7471,1
5977911599303,7405,1
7137499449621,7381,1
6580230598692,7268,1
3121917956638,7261,1
2496196333059,7192,1
2952546940457,7178,1
7798476230477,7132,1
2972304477995,7127,1
3539853486321,7116,1
7700019342506,7072,1
4125558840055,6910,1
8324538622812,6873,1
3628096268924,6872,1
5728631497408,6772,1
2715101263265,6763,1
8744213208083,6756,1
3819819879680,6750,1
1622291800693,6747,1
4890608132123,6732,1
6840561128263,6728,1
5119043900342,6666,1
4463038923899,6623,1
6627695517367,6610,1
8511940960738,6549,1
8794298734762,6533,1
6474248527456,6439,1
4387520492268,6430,1
6665472896112,6427,1
4430813501702,6409,1
5626394439333,6367,1
9371358036029,6342,1
6450526965785,6341,1
8865161873178,6288,1
1286386352363,6255,1
9922600473589,6244,1
8598182696737,6200,1
1249157173843,6145,1
7924944303061,6125,1
6572495755614,6060,1
2814182305521,6032,1
6822279641906,5970,1
4157994251010,5969,1
7951683992201,5947,1
7827982791619,5852,1
9800055162708,5832,1
6311429831712,5830,1
6751408420962,5790,1
6743340545468,5765,1
8131986738916,5762,1
9908317678319,5752,1
5470984288397,5747,1
3912072372671,5740,1
2071495323019,5728,1
2583338013147,5698,1
3434306020733,5690,1
4899557343939,5669,1
2138407615536,5647,1
7073158053320,5644,1
7463039320130,5605,1
5397725187456,5590,1
1889799095546,5587,1
4135189341571,5543,1
9303914296905,5532,1
7347312113904,5493,1
6845454015170,5442,1
3877719520924,5421,1
1974276812096,5400,1
3129962373089,5384,1
8256989945484,5367,1
4803385865969,5360,1
1696988453830,5355,1
1457679920127,5302,1
8482046045967,5299,1
3512006607926,5291,1
6179759156574,5271,1
7949964660074,5257,1
9000543885757,5197,1
4285677051814,5156,1
6288565789130,5153,1
9877689129114,5139,1
6720042290057,5068,1
8589696507650,5063,1
9865264440950,4973,1
2358880040745,4961,1
2607804613764,4959,1
1629753780591,4956,1
3295386640893,4939,1
4895332758799,4937,1
3436342454356,4914,1
8689667434513,4911,1
5383034176229,4877,1
3396196942158,4876,1
9810534917429,4876,1
6975917033011,4869,1
3779225221244,4854,1
6738199262231,4850,1
4505126396107,4810,1
3147808092725,4776,1
5955583342024,4772,1
4959780839130,4756,1
7979430105861,4714,1
3070928150128,4674,1
2380109149212,4670,1
3884821959361,4668,1
3495961350511,4628,1
3053916737986,4608,1
4032427655923,4601,1
5536695840355,4593,1
7676449292929,4570,1
8230689555664,4566,1
3675675981182,4485,1
9111849477258,4455,1
9574823698597,4428,1
1919209322110,4414,1
9137703270569,4394,1
8518973763129,4385,1
5143224518170,4376,1
4990165943549,4375,1
1705110151176,4364,1
2491528502028,4353,1
9231221771191,4342,1
8755420465428,4333,1
3323471785519,4319,1
5695990499681,4271,1
3047171576270,4269,1
4172314508131,4221,1
5093260051733,4206,1
1578778816759,4192,1
3503692166361,4186,1
7563612068833,4165,1
4594894773387,4116,1
5016182537604,4070,1
9300616433072,4054,1
2406877753984,4049,1
1291452312833,4029,1
5028549111949,4014,1
2528482734906,3992,1
3422821652751,3992,1
5075886035946,3971,1
5036399240647,3935,1
8984365033069,3924,1
4451472224955,3914,1
3289184097779,3856,1
3519182031568,3843,1
2665832510059,3821,1
3386182477388,3815,1
9881608535825,3809,1
2019473448712,3792,1
3998208076995,3738,1
3563619249354,3728,1
5430588714856,3717,1
3404609064772,3715,1
5471034852807,3685,1
5937837671262,3684,1
1777835653808,3652,1
6411841515969,3637,1
1369680716762,3604,1
6603886875041,3599,1
6293096161494,3596,1
7157853447292,3575,1
7794501971121,3558,1
7898493817901,3520,1
3340316124444,3505,1
4587682934312,3498,1
1108955862342,3488,1
1403932491810,3469,1
5898083718014,3439,1
2538965868901,3436,1
8693481552759,3424,1
7242463545602,3402,1
2434578841471,3369,1
7504929180742,3343,1
2784403167901,3341,1
3350538614253,3333,1
7858189838024,3322,1
5195007036592,3314,1
3126010067226,3307,1
8864022965578,3305,1
6848765421999,3302,1
8350224797029,3295,1
2296079327065,3292,1
7327565333439,3285,1
9061069779001,3278,1
5688833642946,3265,1
9683567680451,3264,1
2427017411946,3259,1
8874007171672,3256,1
4412552490387,3249,1
3211425757562,3243,1
7830768382956,3227,1
1686642267576,3204,1
4033647828412,3204,1
6797090419297,3201,1
4395764014365,3186,1
9411925790104,3183,1
7033547362990,3182,1
4140231219560,3161,1
5484061095086,3157,1
1889417067979,3154,1
7291532622089,3124,1
8082336692533,3093,1
8168053604263,3088,1
7260649698627,3064,1
6471688777258,3043,1
1747786756368,3035,1
8783002607813,3034,1
6002880238720,3033,1
3044489264000,3031,1
1671703913317,3029,1
1152861338798,3024,1
8970142168215,3020,1
8983979487299,3020,1
6094561515718,3017,1
4773453583210,3016,1
7260504811226,3014,1
6953422443341,3012,1
7739453474009,3004,1
3873725772754,3000,1
9301200870693,2999,1
3017716235406,2996,1
8142774115435,2990,1
9058272199116,2988,1
5419165278868,2981,1
2940857219803,2978,1
8879749834311,2969,1
9608637011103,2960,1
8468777535194,2959,1
4807826538416,2952,1
6439962402074,2948,1
1777703738217,2940,1
2675631598141,2932,1
5243369223078,2925,1
3486232369433,2919,1
3053629188366,2913,1
6276500496268,2898,1
4890860185100,2895,1
8506436370714,2877,1
5229400080640,2875,1
6319875266362,2856,1
6581986804210,2855,1
8384231087713,2854,1
3441779256545,2841,1
3476036990924,2840,1
7644333823114,2840,1
9404991625371,2837,1
4658904611646,2832,1
6821304000527,2828,1
7861626629081,2828,1
1870842299981,2823,1
6673762391460,2821,1
1233164490028,2805,1
1889839849450,2794,1
2905195169144,2787,1
7673360766386,2786,1
6405841955580,2783,1
1971441911998,2782,1
9977089170003,2780,1
2316950607960,2772,1
1350969113518,2771,1
8817576050757,2766,1
4959830615044,2762,1
4907804512431,2744,1
6331984253453,2738,1
7483356970150,2735,1
7565582577485,2729,1
3652930404860,2726,1
2901784733951,2723,1
9717594866281,2712,1
3078921924605,2704,1
9938225962566,2704,1
9977136564029,2699,1
6851692325469,2684,1
2512152623931,2680,1
2127344584657,2677,1
9292236363402,2675,1
7483029940398,2672,1
1818623574537,2671,1
2510608412924,2669,1
8112835197175,2669,1
8760415591952,2650,1
3456951245675,2646,1
6457717599411,2646,1
4123741955067,2643,1
8083352053986,2639,1
9873899770603,2619,1
2567004019585,2614,1
7206300159609,2605,1
3653133076616,2604,1
4120982499787,2604,1
1922553364462,2592,1
5671825171013,2592,1
6207185883636,2584,1
6427370793303,2578,1
1729789826829,2577,1
5656109149628,2573,1
9696973365706,2569,1
5589003610379,2564,1
7700397294091,2561,1
2515957569517,2556,1
5672481251025,2545,1
9869859661067,2545,1
1322725837112,2541,1
5848732136087,2541,1
7504453324230,2533,1
2335620443218,2527,1
3948389778028,2526,1
8532024073378,2526,1
8409796117855,2521,1
1716142846510,2516,1
5121165778631,2513,1
9965161190001,2509,1
8782008700844,2502,1
6067308794264,2500,1
1297121800186,2497,1
6413796819722,2494,1
6552540740342,2493,1
9737628816003,2490,1
8186574722974,2488,1
2450354008524,2479,1
7024216907437,2478,1
3005228327646,2465,1
8993422887637,2465,1
7315473571241,2460,1
1027487375604,2457,1
4282676548727,2450,1
5503605576393,2438,1
8746643608808,2436,1
3292305216430,2434,1
9854614898077,2432,1
8507735175369,2420,1
3047096567830,2408,1
1660364427029,2387,1
1032663543678,2386,1
4722618174533,2384,1
1987689927967,2372,1
1426068459007,2371,1
1011171798534,2364,1
7679423483917,2364,1
4318824707507,2363,1
4302674490566,2356,1
5589743487253,2356,1
8500870998886,2353,1
1995817671651,2352,1
6228695665265,2348,1
6498008995208,2345,1
1740553261888,2342,1
5742062853181,2338,1
5359734295640,2336,1
5353759218307,2333,1
4471703335779,2332,1
9677515948182,2330,1
1686749189124,2328,1
4943094021283,2328,1
7417324116157,2326,1
2497722017306,2324,1
4072341266694,2324,1
1437713787691,2322,1
1167121411999,2321,1
1933216053883,2314,1
3260187535499,2311,1
7832247871562,2307,1
8310704462120,2303,1
5937374538860,2300,1
6228235889154,2298,1
1212620224738,2296,1
4132152407737,2283,1
8768320945745,2282,1
9790466636338,2276,1
8102086649355,2274,1
5210601473935,2269,1
3938836105626,2260,1
1219430014948,2250,1
2349035412093,2249,1
9611502073866,2248,1
6480194502209,2247,1
2125548855045,2244,1
