pmaster_sku,band_lw,pv_lw,pv_l30d
1819343881882,B,257,
9411012056796,B,257,
8002012187351,B,257,
9367816728454,B,257,
8495158977456,A,2,
5940706857308,A,258,
6248152041319,B,258,
5229470888627,B,258,
4711442476201,B,258,
7248549370987,A,4,
3970828718920,B,262,
8493968323007,B,262,
1356855804928,A,262,
8566236345305,B,263,
3778605577827,B,264,
2266968642261,B,264,
5220604049687,B,264,
6088267538170,B,265,
9227491269047,A,265,
2520928069911,B,265,
9452483483691,B,265,
3643948518854,B,265,
7126394736201,B,266,
7037651681637,B,266,
6275211295659,B,267,
9090399035920,B,267,
2125210646617,B,268,
8075135083457,B,269,
8028283478295,B,14,
1308491940188,B,270,
1570146922294,B,271,
7999471532185,B,271,
6469262132927,B,272,
1953246839158,B,272,
2665914180688,B,272,
6274816164481,B,17,
4146956528321,B,273,
6814672751768,B,273,
6009097072315,B,274,
1732453053757,B,275,
7532818000712,B,20,
4014645891606,B,276,
1921707977475,B,276,
1000372109636,A,276,
7716658798614,B,277,
2796882934714,B,277,
2461119185960,A,277,
5415497438550,B,22,
5331706284350,B,22,
2622980466034,B,22,
7640650302029,B,22,
4652545875047,B,22,
9662460141077,B,22,
1570429095684,B,22,
6936962573501,B,22,
6308845867531,B,22,
5626065324666,B,22,
2354325960604,B,22,
8795173922311,B,22,
5683250533224,B,22,
7642916271762,B,22,
6291609517839,B,22,
3647647334077,B,22,
8880029619788,B,22,
1977488851013,B,22,
8510114921944,B,22,
1193621060863,B,22,
3426124671171,B,22,
8208586036730,B,22,
4127940435252,B,22,
9567898641964,B,22,
2216381602698,B,22,
7199668243200,B,22,
5992280321477,B,22,
1967598628423,B,22,
4769965533326,B,22,
9565455723292,B,22,
6113900971640,B,22,
2949681955682,B,22,
9826120720084,B,22,
4165787478331,B,22,
6859796883458,B,22,
6347135861936,B,22,
9430400050748,B,22,
8294198819512,B,22,
3699463337721,B,22,
8813845429329,B,22,
9043167432865,B,22,
6963182197019,B,22,
4567973755701,B,22,
4297713086907,B,22,
7389982370435,B,22,
3840849050296,B,22,
7897748119851,B,22,
5756002180046,B,22,
3906504956385,B,22,
6410940868731,B,22,
6099105164064,B,22,
6616460325171,B,22,
7590601640154,B,22,
2053388752767,B,22,
2504742529198,B,22,
9115899469553,B,22,
4227382064093,B,22,
3864144855073,B,22,
2014246821016,B,22,
7581175672290,B,22,
5031212525541,B,22,
7602351360690,B,22,
2690429070208,B,22,
7143777810522,B,22,
7156223841685,B,22,
1523854885059,B,22,
3131976650153,B,22,
3342490194565,B,22,
3135945103275,B,23,
4815037482042,B,23,
3557517027296,B,23,
3169112225521,B,23,
1855312697392,B,23,
5338325319190,B,23,
6135182502325,B,23,
9507067365406,B,23,
9387503178827,B,23,
6568045363695,B,23,
9853856211547,B,23,
1121883898221,B,23,
6373737655357,B,23,
9365341145979,B,23,
1543012557015,B,23,
7449789551327,B,23,
7604697732873,B,23,
6451585854570,B,23,
8691795086823,B,23,
2098702402573,B,23,
5879946672573,B,23,
7249340147737,B,23,
9965172043303,B,23,
7015941734812,B,23,
8246700445620,B,23,
1806001012627,B,23,
8987014501582,B,23,
8647337948050,B,23,
9883609538027,B,23,
7118249286352,B,23,
1659731546307,B,23,
5334954352874,B,23,
1099430179782,B,23,
9242801410362,B,23,
6477253327105,B,23,
8170173775127,B,23,
1486537375221,B,23,
2518868382681,B,23,
7570262527605,B,23,
2032541345744,B,23,
4263326501460,B,23,
3318575090546,B,23,
